char,total_strokes,radical,meaning,category,components,all_radicals
缑,12,120'.9,cord binding on hilt of sword,Simplified,"('纟', '侯')","['人', '纟', '矢']"
縱,17,120.11,"indulge in, give free reign to",Traditional,"('糹', '從')","['人', '彳', '糸', '止']"
繘,18,120.12,rope,Traditional,"('糹', '矞')","['八', '糸', '冂', '矛', '口']"
紹,11,120.5,"continue, carry on; hand down; to join",Traditional,"('糹', '召')","['刀', '糸', '口']"
絰,12,120.6,white hempen cloth worn by mourners,Traditional,"('糹', '至')","['糸', '至']"
编,12,120'.9,"knit, weave; arrange; compile",Simplified,"('纟', '扁')","['户', '艸', '纟', '冂']"
繼,20,120.14,"continue, maintain, carry on",Traditional,"('糹', '㡭')","['一', '糸']"
縅,15,120.9,"to threaten, intimidate",Unknown,"('糹', '威')","['女', '糸', '厂', '戈', '一']"
缣,13,120'.10,fine silk,Simplified,"('纟', '兼')","['一', '八', '纟', '彐']"
缇,12,120'.9,"reddish color, red, brown",Simplified,"('纟', '是')","['日', '一', '纟', '止']"
纵,7,120'.4,"indulge in, give free reign to",Simplified,"('纟', '从')","['人', '纟']"
経,11,120.5,classic works; pass through,Unknown,"('糹', '圣')","['土', '又', '糸']"
絷,12,120.6,"confine, tie up; imprison, shackle",Simplified,"('执', '糸')","['丿', '丶', '糸', '手']"
纊,20,120.15,cotton; silk,Traditional,"('糹', '廣')","['二', '凵', '八', '广', '丨', '糸', '一', '艸']"
紆,9,120.3,"bend, turn, twist; distort",Traditional,"('糹', '于')","['干', '糸', '亅']"
缳,16,120'.13,"noose; hang death; tie, bind",Simplified,"('纟', '睘')","['一', '网', '纟', '口']"
纜,27,120.21,"hawser, heavy-duty rope, cable",Traditional,"('糹', '覽')","['丿', '丶', '糸', '見', '臣', '一', '网']"
綃,13,120.7,raw silk fabric,Traditional,"('糹', '肖')","['月', '糸', '小']"
縷,17,120.11,"thread; detailed, precise",Traditional,"('糹', '婁')","['女', '十', '糸', '口']"
縏,16,120.10,purse,Both,"('般', '糸')","['糸', '舟', '殳']"
緝,15,120.9,to sew in close stitches,Traditional,"('糹', '咠')","['耳', '糸', '口']"
纭,7,120'.4,"confused, in disorder; numerous",Simplified,"('纟', '云')","['厶', '二', '纟']"
綸,14,120.8,green silk thread or tassel,Traditional,"('糹', '侖')","['人', '糸', '一', '艸', '冂']"
緦,15,120.9,coarse cotton cloth used for mourning,Traditional,"('糹', '思')","['心', '田', '糸']"
紿,11,120.5,"cheat, fool, pretend",Traditional,"('糹', '台')","['厶', '糸', '口']"
结,9,120'.6,"knot, tie; join, connect",Simplified,"('纟', '吉')","['纟', '口', '士']"
缴,16,120'.13,"deliver, submit; hand over",Simplified,"('纟', '敫')","['攴', '白', '纟', '方']"
蠍,19,142.13,scorpion,Both,"('虫', '歇')","['人', '虫', '勹', '曰', '欠']"
蛉,11,142.5,"dragonfly, Libellulidae; lacewing",Both,"('虫', '令')","['人', '丶', '虫']"
螯,16,142.11,nippers,Both,"('敖', '虫')","['丿', '土', '虫', '一', '攴']"
蝠,15,142.9,bat,Both,"('虫', '畐')","['田', '一', '虫', '口']"
蚌,10,142.4,"oysters, mussels; mother-of-pearl",Both,"('虫', '丰')","['一', '丨', '虫', '二']"
蚬,10,142.4,a variety of bivalves,Simplified,"('虫', '见')","['见', '虫']"
蚴,11,142.5,larva,Both,"('虫', '幼')","['幺', '虫', '力']"
蠆,18,142.13,a kind of scorpion; a sting in the tail,Traditional,"('萬', '虫')","['二', '禸', '虫', '丨', '艸', '冂']"
蚫,11,142.5,abalone; dried fish; surname,Both,"('虫', '包')","['勹', '虫', '己']"
蛺,13,142.7,kind of butterfly,Traditional,"('虫', '夾')","['人', '大', '虫']"
螟,16,142.10,snout moth's larva,Both,"('虫', '冥')","['虫', '八', '冖', '亠', '日']"
螣,16,142.10,mythological wingless dragon,Both,"('月', '䖭')","['二', '八', '虫', '丨', '月']"
蜚,14,142.8,cockroach,Both,"('非', '虫')","['虫', '非']"
蠣,20,142.15,oyster,Traditional,"('虫', '厲')","['二', '禸', '虫', '丨', '厂', '艸', '冂']"
蜊,13,142.7,clam,Both,"('虫', '利')","['禾', '刀', '虫']"
蠡,21,142.15,wood-boring insect; bore into wood,Both,"('彖', '䖵')","['勹', '虫', '彐']"
蠋,19,142.13,caterpillar,Both,"('虫', '蜀')","['勹', '网', '虫']"
蟮,18,142.12,earthworm,Both,"('虫', '善')","['虫', '八', '羊', '一', '口']"
蟢,18,142.12,caulk; a spider,Both,"('虫', '喜')","['虫', '八', '士', '一', '口']"
虱,8,142.2,louse; bug; parasite,Both,"('乁', '䖝')","['虫', '乙']"
螺,17,142.11,spiral shell; conch; spiral,Both,"('虫', '累')","['虫', '糸', '田']"
蛍,11,142.5,"glow-worm, luminous insect",Unknown,"('小', '虫')","['冖', '虫', '小']"
虾,9,142.3,"shrimp, prawn",Both,"('虫', '下')","['一', '虫', '卜']"
螕,16,142.10,"a tick, mite",Both,"('虫', '𣬉')","['丿', '囗', '丶', '虫']"
蟠,18,142.12,"coil; coiling, curling; occupy",Both,"('虫', '番')","['虫', '田', '釆']"
蚰,11,142.5,millipede,Both,"('虫', '由')","['二', '丨', '虫', '凵']"
螞,16,142.10,ant; leech,Traditional,"('虫', '馬')","['馬', '虫']"
蟬,18,142.12,cicada; continuous,Traditional,"('虫', '單')","['二', '虫', '丨', '十', '口', '冂']"
蛟,12,142.6,scaly dragon with four legs,Both,"('虫', '交')","['丿', '亠', '虫', '八']"
螀,15,142.9,kind of cicada,Simplified,"('将', '虫')","['人', '虫', '手', '十', '亠', '小', '爿']"
蚱,11,142.5,grasshopper; (edible) locust; cicada,Both,"('虫', '乍')","['丿', '二', '虫', '丨', '一']"
