char,decomposition
褉,"['二', '刀', '丨', '大', '衣', '一']"
褺,"['土', '丶', '丿', '八', '干', '衣']"
袱,"['人', '衣', '犬']"
襦,"['而', '衣', '雨']"
襴,"['門', '八', '丨', '木', '衣', '口']"
袳,"['衣', '夕']"
襉,"['月', '衣', '門']"
被,"['皮', '衣']"
裱,"['一', '土', '衣']"
袽,"['女', '衣', '口']"
裕,"['衣', '谷']"
裢,"['车', '衣', '辵']"
襕,"['门', '八', '丨', '木', '衣', '口']"
襫,"['一', '衣', '白', '大']"
袭,"['衣', '龙']"
裂,"['衣', '歹', '刀']"
襶,"['土', '八', '衣', '戈', '田', '一', '艸']"
袚,"['丿', '丶', '又', '衣', '一']"
襪,"['丶', '厂', '衣', '戈', '网', '艸']"
裌,"['人', '衣', '大']"
裃,"['一', '衣', '卜']"
裨,"['二', '丶', '丨', '十', '衣', '冂']"
襝,"['一', '人', '衣']"
衾,"['人', '丶', '衣']"
衽,"['衣', '士']"
袮,"['一', '丿', '衣', '小']"
褯,"['广', '衣', '廾', '巾']"
褵,"['丿', '凵', '禸', '亠', '衣']"
袷,"['一', '人', '衣', '口']"
襃,"['一', '衣', '木', '口']"
褸,"['女', '十', '衣', '口']"
襷,"['八', '手', '丨', '衣', '臼', '一']"
袿,"['土', '衣']"
袈,"['口', '衣', '力']"
衿,"['人', '丶', '衣']"
裹,"['衣', '田', '木']"
亵,"['丿', '衣', '手', '丶']"
袺,"['衣', '口', '士']"
衭,"['人', '衣', '二']"
补,"['衣', '卜']"
袴,"['二', '衣', '大']"
装,"['衣', '爿', '士']"
裆,"['小', '衣', '彐']"
襀,"['土', '貝', '衣', '一']"
袁,"['土', '口']"
襌,"['二', '丨', '十', '衣', '口', '冂']"
裡,"['里', '衣']"
裏,"['衣', '里']"
衫,"['彡', '衣']"
袒,"['日', '一', '衣']"
褰,"['二', '八', '衣', '宀', '一']"
褐,"['勹', '人', '衣', '曰']"
襋,"['衣', '木', '冂']"
裣,"['一', '人', '衣', '小']"
襱,"['衣', '龍']"
袄,"['衣', '大']"
襯,"['見', '十', '衣', '小', '立']"
裾,"['十', '衣', '尸', '口']"
襏,"['殳', '衣', '癶', '弓']"
襮,"['八', '水', '衣', '日', '一', '艸']"
裈,"['冖', '车', '衣']"
襡,"['勹', '衣', '虫', '网']"
袋,"['人', '弋', '衣']"
裟,"['丿', '衣', '水', '小']"
袂,"['人', '衣', '丨']"
襵,"['衣', '耳']"
衦,"['干', '衣']"
衩,"['丶', '又', '衣']"
袍,"['勹', '衣', '己']"
裸,"['衣', '田', '木']"
複,"['丿', '夂', '衣', '日', '一']"
袜,"['一', '衣', '木']"
袼,"['口', '衣', '夂']"
襄,"['一', '二', '衣', '口']"
褱,"['衣', '网', '水']"
裥,"['门', '衣', '日']"
裙,"['衣', '丨', '彐', '口']"
褕,"['人', '刀', '衣', '月', '一']"
襻,"['手', '爻', '大', '木', '衣']"
褲,"['車', '广', '衣']"
褧,"['火', '衣', '耳']"
襬,"['月', '厶', '衣', '网']"
褪,"['艮', '衣', '辵']"
褽,"['衣', '尸', '寸', '示']"
褴,"['丿', '丶', '丨', '衣', '皿', '一']"
褥,"['衣', '辰', '寸']"
褝,"['二', '丨', '十', '衣', '小', '冂']"
袗,"['人', '衣', '彡']"
裤,"['广', '车', '衣']"
裊,"['一', '丶', '衣']"
襤,"['丿', '丶', '臣', '衣', '皿', '一']"
褫,"['虍', '几', '衣', '⺁']"
裝,"['衣', '爿', '士']"
裪,"['勹', '衣', '缶']"
製,"['牛', '衣', '刀', '巾']"
裒,"['臼', '衣']"
褃,"['月', '止', '衣']"
袢,"['二', '衣', '丨', '八']"
裳,"['冖', '小', '衣', '口']"
袠,"['人', '衣', '二']"
褘,"['衣', '韋']"
襼,"['丿', '土', '丶', '八', '二', '厶', '衣', '艸']"
衹,"['衣', '氏']"
裰,"['衣', '又']"
襭,"['頁', '衣', '口', '士']"
袟,"['人', '衣', '二']"
襜,"['八', '刀', '厂', '衣', '言']"
裛,"['亠', '丨', '口', '乙']"
褎,"['禾', '一', '衣']"
裲,"['一', '衣', '入', '巾']"
襟,"['衣', '木', '示']"
衷,"['衣', '丨', '口']"
褓,"['人', '衣', '木', '口']"
裯,"['衣', '田', '口']"
褌,"['冖', '車', '衣']"
褛,"['女', '衣', '米']"
裶,"['衣', '非']"
襍,"['隹', '木', '衣']"
表,"['一', '土']"
褒,"['人', '衣', '木', '口']"
襚,"['衣', '豕', '八', '辵']"
初,"['刀', '衣']"
裔,"['衣', '八', '口', '冂']"
袛,"['丶', '氏', '衣']"
裋,"['衣', '豆']"
袵,"['人', '衣', '士']"
褟,"['日', '羽', '衣']"
褻,"['丿', '土', '丶', '八', '衣']"
褄,"['女', '十', '衣', '聿']"
襇,"['日', '衣', '門']"
襞,"['衣', '尸', '辛', '口']"
裍,"['囗', '衣', '木']"
袖,"['二', '衣', '丨', '凵']"
襁,"['虫', '衣', '弓', '口']"
襖,"['宀', '衣', '大', '米']"
襢,"['囗', '亠', '衣', '日', '一']"
褡,"['人', '衣', '一', '艸', '口']"
褢,"['衣', '鬼']"
褊,"['户', '衣', '艸', '冂']"
補,"['十', '丶', '衣', '用']"
袅,"['丶', '衣']"
袪,"['土', '衣', '厶']"
裎,"['衣', '玉', '口']"
疰,"['丶', '玉', '疒']"
瘫,"['隹', '又', '疒']"
疤,"['丨', '疒', '乙']"
疡,['疒']
瘯,"['丿', '矢', '方', '疒', '一']"
癃,"['夂', '生', '阝', '疒', '一']"
癈,"['殳', '癶', '弓', '疒']"
癡,"['疋', '匕', '疒', '矢']"
痑,"['疒', '夕']"
瘖,"['音', '疒']"
療,"['八', '大', '小', '疒', '日']"
疝,"['山', '疒']"
痫,"['门', '木', '疒']"
瘚,"['八', '屮', '疒', '一', '欠']"
瘴,"['日', '十', '立', '疒']"
疕,"['匕', '疒']"
痩,"['日', '丨', '疒', '又']"
痊,"['人', '玉', '疒']"
痙,"['一', '川', '疒', '工']"
疔,"['一', '亅', '疒']"
癇,"['門', '月', '疒']"
癞,"['刀', '贝', '木', '疒', '口']"
癮,"['心', '爪', '彐', '阝', '疒', '工']"
痡,"['十', '丶', '用', '疒']"
疬,"['力', '厂', '疒']"
疧,"['氏', '疒']"
痘,"['豆', '疒']"
痴,"['口', '疒', '矢']"
痃,"['玄', '疒']"
癧,"['禾', '止', '厂', '疒']"
瘶,"['口', '木', '欠', '疒']"
瘢,"['殳', '舟', '疒']"
痮,"['長', '疒']"
痳,"['木', '疒']"
瘭,"['襾', '疒', '示']"
瘥,"['羊', '疒', '工']"
瘻,"['女', '十', '口', '疒']"
痍,"['大', '弓', '疒']"
瘍,"['日', '一', '勹', '疒']"
瘸,"['口', '力', '肉', '疒']"
疴,"['一', '亅', '口', '疒']"
痉,"['疒', '工']"
瘀,"['人', '丶', '方', '疒']"
瘐,"['臼', '人', '疒']"
瘺,"['尸', '疒', '雨']"
癆,"['冖', '火', '力', '疒']"
疸,"['日', '一', '疒']"
瘘,"['女', '米', '疒']"
瘛,"['心', '二', '刀', '丨', '疒', '一']"
瘡,"['人', '丶', '丨', '彐', '疒', '口']"
痎,"['人', '亠', '丨', '疒']"
疹,"['人', '彡', '疒']"
疖,"['丨', '疒']"
症,"['一', '疒', '止']"
痭,"['月', '疒']"
瘦,"['臼', '丨', '疒', '又']"
瘞,"['土', '大', '人', '疒']"
瘲,"['人', '彳', '疒', '止']"
瘰,"['田', '糸', '疒']"
癔,"['心', '音', '疒']"
瘈,"['二', '刀', '丨', '大', '疒', '一']"
瘌,"['口', '木', '刀', '疒']"
疽,"['月', '一', '疒']"
癱,"['二', '人', '隹', '丨', '廾', '疒', '口']"
疭,"['人', '疒']"
瘼,"['日', '大', '艸', '疒']"
瘉,"['人', '刀', '疒', '月', '一']"
癊,"['二', '人', '丶', '厶', '阝', '疒']"
癰,"['川', '隹', '邑', '疒']"
痾,"['口', '阝', '疒', '一', '亅']"
疯,"['风', '疒']"
瘜,"['心', '自', '疒']"
疳,"['甘', '疒']"
癭,"['女', '貝', '疒']"
瘨,"['八', '十', '目', '疒', '一']"
疮,"['人', '疒', '乙']"
癅,"['一', '田', '疒']"
瘊,"['人', '疒', '矢']"
痌,"['冂', '一', '口', '疒']"
瘃,"['勹', '一', '丶', '疒']"
瘝,"['网', '疒']"
痰,"['火', '疒']"
疥,"['人', '疒']"
痄,"['丿', '二', '丨', '疒', '一']"
瘩,"['人', '疒', '一', '艸', '口']"
疱,"['勹', '己', '疒']"
癲,"['八', '十', '目', '疒', '頁', '一']"
痼,"['囗', '口', '十', '疒']"
痞,"['丿', '卜', '疒', '一', '口']"
癒,"['心', '人', '刀', '疒', '月', '一']"
痦,"['一', '口', '力', '疒']"
癟,"['人', '疒', '一', '自', '艸', '冂']"
瘧,"['虍', '疒']"
痛,"['用', '疒']"
癤,"['丶', '竹', '丨', '彐', '疒', '卩', '乙']"
瘮,"['厶', '人', '彡', '疒']"
痨,"['冖', '力', '艸', '疒']"
瘏,"['日', '老', '疒']"
痵,"['禾', '子', '疒']"
癘,"['二', '禸', '丨', '疒', '艸', '冂']"
癥,"['彳', '山', '疒', '一', '玉', '攴']"
痿,"['禾', '女', '疒']"
痖,"['一', '八', '疒']"
瘆,"['厶', '大', '彡', '疒']"
痪,"['冂', '刀', '大', '疒']"
瘙,"['丶', '又', '虫', '疒']"
疟,['疒']
瘳,"['人', '羽', '彡', '疒']"
痺,"['二', '丶', '丨', '十', '疒', '冂']"
癎,"['門', '日', '疒']"
癣,"['鱼', '羊', '疒']"
痁,"['口', '卜', '疒']"
瘓,"['八', '刀', '大', '疒', '冂']"
痠,"['厶', '夂', '八', '疒']"
痔,"['土', '寸', '疒']"
癠,"['齊', '疒']"
痚,"['子', '老', '疒']"
癀,"['二', '凵', '八', '丨', '疒', '一', '艸']"
癬,"['羊', '魚', '疒']"
疵,"['止', '匕', '疒']"
疾,"['疒', '矢']"
疿,"['弓', '疒']"
瘠,"['月', '人', '疒', '冫']"
瘂,"['二', '疒']"
痜,"['禾', '几', '疒']"
疼,"['夂', '疒', '丶']"
癕,"['隹', '丿', '亠', '疒']"
痯,"['宀', '己', '疒']"
瘵,"['月', '示', '疒', '卩']"
瘪,"['人', '自', '匕', '疒']"
疗,"['亅', '疒']"
癢,"['丶', '八', '羊', '艮', '疒']"
疙,"['一', '丿', '疒', '乙']"
疻,"['口', '八', '疒']"
疢,"['火', '疒']"
病,"['冂', '一', '人', '疒']"
痢,"['禾', '刀', '疒']"
瘿,"['女', '疒']"
痕,"['艮', '疒']"
癖,"['口', '尸', '辛', '疒']"
瘁,"['十', '亠', '人', '疒']"
瘇,"['十', '里', '疒']"
痒,"['羊', '疒']"
疲,"['皮', '疒']"
瘤,"['田', '疒', '卩']"
瘟,"['日', '皿', '疒']"
痱,"['非', '疒']"
癍,"['文', '王', '疒']"
痐,"['囗', '疒']"
癌,"['口', '山', '疒']"
癩,"['刀', '木', '貝', '疒', '口']"
疫,"['殳', '疒']"
癜,"['八', '尸', '疒', '一', '艸', '殳']"
痣,"['心', '疒', '士']"
痈,"['用', '疒']"
痧,"['丿', '小', '水', '疒']"
疣,"['尢', '丶', '疒']"
痂,"['口', '力', '疒']"
癙,"['鼠', '疒']"
瘗,"['二', '人', '土', '八', '疒']"
癫,"['八', '页', '十', '目', '疒', '一']"
癯,"['目', '隹', '疒']"
痲,"['木', '疒']"
瘕,"['又', '二', '尸', '疒']"
痤,"['土', '人', '疒']"
痀,"['勹', '口', '疒']"
瘾,"['心', '刀', '彐', '阝', '疒']"
瘅,"['二', '八', '丨', '十', '疒', '冂']"
疚,"['勹', '疒']"
痹,"['一', '田', '疒']"
瘋,"['風', '疒']"
疠,"['丿', '一', '疒']"
痗,"['一', '丿', '毋', '疒']"
痏,"['月', '丿', '一', '疒']"
癉,"['二', '丨', '十', '口', '疒', '冂']"
癨,"['隹', '疒', '雨']"
痻,"['日', '氏', '疒']"
驻,"['马', '玉', '丶']"
騞,"['二', '馬', '丨', '一', '石']"
騈,"['馬', '干']"
駢,"['馬', '一', '廾', '八']"
驴,"['户', '马']"
騨,"['二', '馬', '丨', '十', '小', '冂']"
駃,"['馬', '人', '丨']"
骆,"['马', '口', '夂']"
駙,"['馬', '人', '寸']"
駉,"['馬', '口', '冂']"
骕,"['马', '聿', '小']"
駑,"['女', '又', '馬']"
驦,"['馬', '目', '木', '雨']"
骖,"['厶', '马', '大', '彡']"
骠,"['襾', '马', '示']"
驼,"['宀', '马', '匕']"
騣,"['凵', '丿', '八', '夂', '馬']"
駭,"['馬', '人', '亠', '丨']"
騢,"['馬', '二', '尸', '又']"
騯,"['八', '馬', '冖', '亠', '方']"
駅,"['馬', '尸']"
驳,"['马', '爻']"
骝,"['马', '田', '卩']"
驂,"['馬', '人', '厶', '彡']"
驰,"['马', '丨', '乙']"
驢,"['馬', '虍', '田', '皿']"
騤,"['馬', '一', '大', '癶']"
驌,"['馬', '一', '聿']"
骥,"['八', '匕', '马', '田', '一', '艸']"
驚,"['馬', '口', '勹', '艸', '攴']"
骃,"['囗', '马', '大']"
驃,"['馬', '襾', '示']"
驥,"['八', '馬', '匕', '田', '一', '艸']"
骅,"['十', '马', '匕', '人']"
骐,"['一', '马', '八', '甘']"
駐,"['馬', '丶', '玉']"
骞,"['二', '八', '马', '宀', '一']"
騁,"['二', '凵', '馬', '丨', '一']"
骏,"['厶', '马', '八', '夂']"
骜,"['丿', '土', '马', '一', '攴']"
駟,"['馬', '囗', '儿']"
骄,"['马', '大']"
駞,"['丿', '馬', '丨', '一', '乙']"
騵,"['馬', '白', '厂', '小']"
骤,"['丿', '马', '又', '耳']"
駘,"['馬', '厶', '口']"
馭,"['馬', '又']"
驯,"['马', '川']"
騗,"['馬', '户', '艸', '冂']"
驉,"['馬', '虍', '八', '一']"
驭,"['马', '又']"
驁,"['丿', '土', '馬', '一', '攴']"
驪,"['馬', '一', '鹿']"
駓,"['馬', '一', '卜', '丿']"
騖,"['馬', '矛', '攴']"
駴,"['馬', '戈', '廾']"
馿,"['馬', '户']"
驽,"['女', '马', '又']"
驔,"['馬', '十', '日', '襾']"
馱,"['馬', '大']"
骑,"['亅', '大', '马', '一', '口']"
騙,"['馬', '户', '艸', '冂']"
騠,"['馬', '一', '日', '止']"
駸,"['馬', '又', '冖', '彐']"
驿,"['二', '马', '又', '丨']"
騒,"['馬', '又', '虫']"
騄,"['馬', '水', '彐']"
驘,"['丶', '馬', '匸', '月', '几', '口']"
騲,"['馬', '十', '艸', '日']"
骡,"['马', '田', '糸']"
騋,"['馬', '人', '木']"
驍,"['馬', '一', '土', '儿']"
騉,"['馬', '比', '日']"
驶,"['丿', '马', '丨', '口']"
駏,"['馬', '匚']"
驹,"['勹', '马', '口']"
驟,"['馬', '丿', '又', '耳']"
駬,"['馬', '耳']"
駜,"['馬', '丿', '心']"
騭,"['丿', '止', '馬', '阝', '小']"
駕,"['馬', '口', '力']"
驩,"['馬', '隹', '艸', '口']"
骁,"['一', '马', '儿']"
骂,"['马', '口']"
验,"['一', '人', '马', '小']"
骙,"['大', '一', '马', '癶']"
騮,"['馬', '田', '卩']"
験,"['人', '八', '馬', '丨', '一', '口']"
駔,"['馬', '一', '月']"
馵,"['馬', '廾']"
馹,"['馬', '日']"
驊,"['二', '馬', '丨', '一', '艸']"
騂,"['馬', '辛']"
驏,"['馬', '子', '尸']"
驸,"['人', '马', '寸']"
驄,"['心', '丶', '夂', '馬', '囗']"
驖,"['土', '馬', '戈', '玉', '口']"
馮,"['馬', '冫']"
騺,"['土', '丶', '丿', '八', '馬', '干']"
駦,"['馬', '二', '丨', '八']"
骧,"['二', '马', '衣', '一', '口']"
駛,"['馬', '丿', '丨', '口']"
驺,"['马', '刀', '彐']"
騍,"['馬', '田', '木']"
駒,"['馬', '勹', '口']"
騃,"['馬', '厶', '矢']"
駿,"['馬', '厶', '八', '夂']"
騰,"['二', '八', '馬', '丨', '月']"
馴,"['馬', '川']"
驤,"['二', '馬', '衣', '一', '口']"
骇,"['人', '马', '丨', '亠']"
骣,"['子', '马', '尸']"
骍,"['马', '辛']"
骦,"['目', '马', '木', '雨']"
驅,"['馬', '匚', '口']"
騎,"['亅', '馬', '大', '一', '口']"
駮,"['馬', '丿', '亠', '八']"
驒,"['二', '馬', '丨', '十', '口', '冂']"
驾,"['口', '马', '力']"
駈,"['馬', '一', '斤']"
骊,"['一', '马']"
騫,"['二', '八', '馬', '宀', '一']"
驕,"['馬', '冂', '大', '口']"
骛,"['马', '矛', '攴']"
騕,"['馬', '襾', '女']"
驇,"['丿', '土', '丶', '八', '馬']"
驷,"['囗', '马', '儿']"
骓,"['马', '隹']"
骢,"['心', '丶', '夂', '囗', '马']"
驱,"['丿', '匚', '马']"
駾,"['馬', '八', '口', '儿']"
骟,"['户', '马', '羽']"
騸,"['馬', '户', '羽']"
騳,['馬']
骒,"['马', '田', '木']"
骀,"['厶', '马', '口']"
骘,"['丿', '止', '马', '阝', '小']"
駆,"['馬', '匚', '丿']"
驗,"['馬', '人', '一']"
骎,"['冖', '马', '又', '彐']"
駪,"['馬', '牛', '儿']"
骋,"['二', '凵', '丨', '马', '一']"
駹,"['丿', '丶', '馬', '彡', '一', '乙']"
骉,['马']
驀,"['日', '馬', '大', '艸']"
駽,"['馬', '月', '口']"
駝,"['馬', '匕', '宀']"
骈,"['一', '马', '廾', '八']"
駻,"['馬', '干', '日']"
騻,"['馬', '爻', '大']"
驆,"['二', '馬', '丨', '田', '一', '艸']"
騑,"['馬', '非']"
驮,"['马', '大']"
騐,"['馬', '人', '丶', '心']"
饟,"['人', '丶', '二', '丨', '彐', '衣', '口', '一', '乙']"
騧,"['馬', '口', '冂']"
驫,['馬']
馲,"['馬', '一', '乙']"
驛,"['土', '八', '馬', '干', '网']"
骚,"['马', '又', '虫', '丶']"
騏,"['馬', '一', '甘', '八']"
騘,"['馬', '丶', '勹', '心']"
騌,"['馬', '宀', '示']"
驵,"['月', '一', '马']"
駁,"['馬', '爻']"
駰,"['馬', '囗', '大']"
骗,"['户', '马', '艸', '冂']"
驈,"['八', '馬', '冂', '矛', '口']"
馳,"['馬', '丨', '乙']"
駱,"['馬', '口', '夂']"
駄,"['馬', '丶', '大']"
騾,"['馬', '田', '糸']"
骔,"['宀', '马', '示']"
驲,"['日', '马']"
騅,"['馬', '隹']"
驝,"['士', '馬', '木', '冖', '石']"
騶,"['馬', '勹', '艸']"
騷,"['馬', '丶', '又', '虫']"
秘,"['禾', '丿', '心']"
稜,"['禾', '土', '八', '夂']"
穢,"['止', '丿', '厂', '戈', '小', '禾', '一']"
穇,"['禾', '人', '厶', '彡']"
稲,"['禾', '丨', '日', '爪']"
穤,"['禾', '而', '雨']"
稱,"['禾', '土', '冂', '爪']"
穫,"['禾', '隹', '又', '艸']"
秄,"['禾', '子']"
积,"['禾', '八', '口']"
秧,"['禾', '大', '冂']"
穄,"['禾', '月', '示', '卩']"
穨,"['丨', '貝', '禾', '一', '几', '口']"
稼,"['禾', '宀', '豕']"
穠,"['禾', '二', '凵', '辰']"
稿,"['禾', '高']"
称,"['禾', '刀', '小']"
秪,"['禾', '丶', '氏']"
穰,"['二', '衣', '禾', '一', '口']"
秬,"['禾', '匚']"
秇,"['禾', '丿', '丶']"
穗,"['心', '丨', '日', '十', '禾']"
秤,"['禾', '干', '八']"
稔,"['禾', '人', '丶', '心']"
秣,"['禾', '一', '木']"
税,"['禾', '八', '口', '儿']"
穀,"['士', '冖', '禾', '一', '殳']"
稂,"['禾', '丶', '艮']"
稷,"['禾', '田', '八', '夂']"
秥,"['禾', '卜', '口']"
穉,"['禾', '牛', '尸', '水']"
穣,"['二', '八', '亠', '禾', '一']"
穧,"['禾', '齊']"
稈,"['禾', '干', '日']"
穪,"['八', '巾', '丨', '爻', '禾', '一']"
秉,"['禾', '彐']"
秫,"['禾', '丶', '木']"
稊,"['禾', '丨', '弓', '八']"
稠,"['禾', '田', '口']"
稛,"['禾', '囗']"
稚,"['禾', '隹']"
秩,"['禾', '人', '二']"
種,"['禾', '十', '里']"
租,"['禾', '一', '月']"
稳,"['禾', '刀', '心', '彐']"
秖,"['禾', '氏']"
稹,"['八', '十', '目', '禾', '一']"
秀,"['禾', '丿']"
秸,"['禾', '口', '士']"
禾,['禾']
秭,"['禾', '丨']"
穅,"['禾', '广', '隶']"
稟,"['禾', '囗', '亠']"
積,"['禾', '貝', '土', '一']"
穂,"['心', '二', '凵', '丨', '十', '禾']"
秠,"['禾', '一', '卜', '丿']"
稗,"['二', '丶', '丨', '十', '禾', '冂']"
秐,"['禾', '二', '厶']"
稖,"['禾', '立', '口']"
穆,"['禾', '彡', '白', '小']"
稺,"['禾', '尸', '辛']"
穊,"['丶', '无', '丨', '彐', '禾', '乙']"
稙,"['禾', '十', '目', '一']"
私,"['禾', '厶']"
稇,"['禾', '囗', '木']"
秽,"['禾', '山', '夕']"
稅,"['禾', '八', '口', '儿']"
稉,"['丿', '丨', '日', '禾', '一']"
稏,"['禾', '二']"
穌,"['禾', '魚']"
穈,"['禾', '麻']"
种,"['禾', '丨', '口']"
秏,"['禾', '毛']"
稾,"['禾', '高']"
稀,"['禾', '丿', '一', '巾']"
程,"['禾', '玉', '口']"
稣,"['鱼', '禾']"
秒,"['禾', '丿', '小']"
稆,"['禾', '口']"
秃,"['禾', '几']"
秆,"['禾', '干']"
禿,"['禾', '儿']"
秋,"['禾', '火']"
稑,"['禾', '土', '八']"
秕,"['禾', '比']"
稌,"['禾', '人', '干', '小']"
穟,"['禾', '豕', '八', '辵']"
稭,"['禾', '白', '比']"
稽,"['丶', '匕', '日', '尢', '禾']"
秈,"['禾', '山']"
穑,"['禾', '土', '囗', '八']"
穜,"['禾', '里', '立']"
穋,"['禾', '人', '羽', '彡']"
穏,"['禾', '牛', '心', '非']"
穎,"['禾', '頁', '匕']"
穡,"['禾', '土', '囗', '人']"
穭,"['禾', '魚', '日']"
穐,"['刀', '丨', '日', '田', '禾', '乙']"
秾,"['禾', '巾']"
秔,"['禾', '亠', '几']"
稞,"['禾', '田', '木']"
稻,"['禾', '爪', '臼']"
稃,"['禾', '子', '爪']"
移,"['禾', '夕']"
科,"['禾', '斗']"
稘,"['禾', '一', '甘', '八']"
穩,"['心', '爪', '彐', '工', '禾']"
秦,"['二', '八', '丨', '禾', '一']"
穮,"['禾', '鹿', '火']"
秊,"['禾', '十']"
稍,"['禾', '月', '小']"
稬,"['禾', '而', '大']"
猾,"['骨', '犬']"
獠,"['八', '大', '犬', '小', '日']"
猡,"['网', '犬', '夕']"
猫,"['田', '艸', '犬']"
獻,"['虍', '鬲', '犬']"
獷,"['二', '凵', '八', '广', '丨', '犬', '一', '艸']"
猕,"['刀', '弓', '小', '犬']"
獣,"['犬', '田', '小', '一', '口']"
猸,"['目', '丨', '犬']"
犼,"['子', '乙', '犬']"
獲,"['隹', '又', '艸', '犬']"
獱,"['丿', '犬', '貝', '小', '宀', '一']"
獬,"['牛', '角', '刀', '犬']"
獒,"['丿', '土', '犬', '一', '攴']"
狡,"['丿', '亠', '八', '犬']"
狨,"['一', '丿', '戈', '犬']"
獵,"['丿', '犬', '囗', '川', '冫']"
猬,"['月', '田', '犬']"
獯,"['土', '火', '八', '丨', '犬', '十', '口']"
猓,"['田', '木', '犬']"
獉,"['二', '八', '丨', '犬', '禾', '一']"
狁,"['厶', '犬', '儿']"
狺,"['犬', '言']"
猹,"['日', '一', '木', '犬']"
獄,"['犬', '言']"
猴,"['人', '犬', '矢']"
獞,"['里', '立', '犬']"
猎,"['日', '一', '艸', '犬']"
獗,"['八', '屮', '厂', '犬', '一', '欠']"
玁,"['夂', '厂', '犬', '耳', '口']"
狀,"['爿', '犬']"
狷,"['月', '口', '犬']"
狗,"['勹', '口', '犬']"
獪,"['人', '八', '丨', '犬', '日', '一', '口']"
獘,"['冫', '犬', '攴', '巾']"
猊,"['臼', '犬', '儿']"
猲,"['勹', '人', '曰', '犬']"
猨,"['又', '爪', '干', '犬', '亅']"
狮,"['一', '犬', '巾']"
獅,"['丶', '巾', '犬', '一', '己']"
献,"['八', '干', '犬', '十', '冂']"
猄,"['小', '亠', '口', '犬']"
猝,"['十', '亠', '人', '犬']"
猶,"['八', '酉', '犬']"
犴,"['干', '犬']"
猩,"['日', '生', '犬']"
獧,"['一', '网', '口', '犬']"
狭,"['人', '八', '二', '犬']"
狽,"['貝', '犬']"
獮,"['八', '巾', '丨', '爻', '犬', '一']"
獴,"['二', '犬', '冖', '勹', '艸']"
狉,"['丿', '一', '卜', '犬']"
狝,"['刀', '小', '犬']"
猟,"['二', '丨', '犬', '小', '几']"
猗,"['亅', '大', '犬', '一', '口']"
獐,"['日', '十', '立', '犬']"
狂,"['玉', '犬']"
猜,"['青', '犬']"
獹,"['虍', '田', '皿', '犬']"
猘,"['牛', '刀', '犬', '巾']"
狜,"['十', '口', '犬']"
狱,"['讠', '犬']"
獋,"['十', '自', '犬', '冫']"
猺,"['缶', '爪', '犬']"
猪,"['日', '老', '犬']"
狼,"['艮', '丶', '犬']"
猢,"['月', '十', '口', '犬']"
狍,"['勹', '己', '犬']"
犯,"['乙', '犬']"
猥,"['一', '田', '乙', '犬']"
獸,"['一', '田', '口', '犬']"
獍,"['犬', '音', '儿']"
猰,"['二', '刀', '丨', '大', '犬', '一']"
狯,"['人', '厶', '二', '犬']"
犷,"['广', '犬']"
獝,"['八', '犬', '冂', '矛', '口']"
猃,"['一', '人', '小', '犬']"
猖,"['日', '犬']"
狌,"['生', '犬']"
狻,"['厶', '八', '夂', '犬']"
狞,"['宀', '一', '亅', '犬']"
猱,"['矛', '木', '犬']"
狳,"['干', '人', '小', '犬']"
狎,"['二', '丨', '冂', '犬']"
狐,"['瓜', '犬']"
狘,"['匚', '戈', '犬']"
獰,"['心', '犬', '皿', '宀', '一', '亅']"
狈,"['贝', '犬']"
獫,"['一', '人', '犬']"
犮,"['一', '丿', '丶', '又']"
狲,"['子', '小', '犬']"
猿,"['土', '口', '犬']"
狸,"['里', '犬']"
獁,"['馬', '犬']"
狃,"['二', '刀', '犬']"
狒,"['弓', '犬']"
獢,"['冂', '大', '口', '犬']"
狄,"['火', '犬']"
獃,"['山', '豆', '犬']"
獾,"['隹', '艸', '口', '犬']"
猷,"['八', '酉', '犬']"
犺,"['亠', '几', '犬']"
獼,"['八', '巾', '丨', '弓', '爻', '犬', '一']"
獺,"['刀', '木', '犬', '貝', '口']"
状,"['爿', '犬']"
獳,"['而', '犬', '雨']"
狛,"['白', '犬']"
獨,"['勹', '网', '虫', '犬']"
狵,"['丿', '丶', '彡', '犬', '一', '乙']"
独,"['虫', '犬']"
獎,"['月', '爿', '寸', '犬']"
犲,"['一', '丿', '犬']"
狆,"['丨', '口', '犬']"
犹,"['丶', '尢', '犬']"
猛,"['子', '皿', '犬']"
猁,"['禾', '刀', '犬']"
獏,"['日', '大', '艸', '犬']"
猻,"['子', '糸', '犬']"
狴,"['比', '土', '犬']"
狰,"['刀', '彐', '亅', '犬']"
犸,"['马', '犬']"
獀,"['臼', '丨', '又', '犬']"
猇,"['虍', '几', '犬']"
狹,"['人', '大', '犬']"
犰,"['丿', '犬']"
獭,"['刀', '贝', '木', '犬', '口']"
狠,"['艮', '犬']"
猞,"['干', '人', '口', '犬']"
狢,"['口', '夂', '犬']"
玀,"['隹', '网', '糸', '犬']"
猙,"['彐', '爪', '亅', '犬']"
狖,"['穴', '犬']"
狩,"['宀', '寸', '犬']"
猔,"['宀', '示', '犬']"
狥,"['勹', '日', '犬']"
狙,"['月', '一', '犬']"
犵,"['一', '丿', '乙', '犬']"
玃,"['目', '隹', '又', '犬']"
辄,"['车', '耳', '乙']"
輮,"['車', '矛', '木']"
轌,"['車', '彐', '雨']"
